[2024-04-07 19:54:19] [INFO ] [AppInvasoresFx: 52] --------------------------------------------------------------------------------
[2024-04-07 19:54:59] [DEBUG] [GameManager: 52] start level=1
[2024-04-07 19:55:16] [DEBUG] [GameManager: 62] nextLevel level=2
[2024-04-07 19:55:23] [DEBUG] [GameManager: 62] nextLevel level=3
[2024-04-07 19:55:23] [DEBUG] [EnemyShipDiagonal: 11] EnemyShipDiagonal N=3
[2024-04-07 19:55:23] [DEBUG] [EnemyShipDiagonal: 11] EnemyShipDiagonal N=3
[2024-04-07 19:55:23] [DEBUG] [EnemyShipDiagonal: 11] EnemyShipDiagonal N=3
[2024-04-07 19:55:23] [DEBUG] [EnemyShipDiagonal: 11] EnemyShipDiagonal N=3
[2024-04-07 19:55:45] [DEBUG] [GameManager:201] updateGame E_APP_ONELESSLIFE enemies=1 shotsDown=4 shotsUp=0
[2024-04-07 19:55:46] [DEBUG] [GameManager: 70] sameLevel level=3
[2024-04-07 19:55:59] [DEBUG] [GameManager: 62] nextLevel level=4
[2024-04-07 19:56:11] [DEBUG] [GameManager: 62] nextLevel level=5
[2024-04-07 19:56:18] [DEBUG] [GameManager: 62] nextLevel level=6
[2024-04-07 19:56:18] [DEBUG] [EnemyShipDiagonal: 11] EnemyShipDiagonal N=3
[2024-04-07 19:56:18] [DEBUG] [EnemyShipDiagonal: 11] EnemyShipDiagonal N=3
[2024-04-07 19:56:18] [DEBUG] [EnemyShipDiagonal: 11] EnemyShipDiagonal N=3
[2024-04-07 19:56:18] [DEBUG] [EnemyShipDiagonal: 11] EnemyShipDiagonal N=3
